UP_list	DOWN_list
NCRNA00163	MLPH
RBMS3	GSTA1
FABP4	STOX1
SERTM1	PYCR1
AGER	ARHGEF19
GLTSCR1L	PLEKHN1
GPR152	RALGPS2
KRT4	LOC100131289
TPRG1	PRPF3
RTKN2	OCIAD2
AQP4	AFAP1-AS1
ZBED2	SYTL2
EFEMP1	BLACAT1
SCN7A	PLCH1
PRR30	MUC1
CD36	GRB7
FGF2	PLCH1
ADAMTS8	PABPC1L
ARHGEF4	MALL
FHL1	OGFR
TSPAN18	AC008063.2
TNFAIP8L3	GSTA5
QKI	KSR2
AGER	PYCR1
CLIC5	GCAT
FMO2	DKC1
CD36	GNAS
CXCL5	STK26
GKN2	TBATA
TTLL7	ENC1
IZUMO4	LGR4
CALCRL	PYCR1
BTNL8	RP11-93K22.13
CNKSR2	PABPC1L
ADH1A	pri-5-hsa-mir-6834
TTLL7	ERBB2
RP11-561O23.6	RHOV
FGF1	FAM161A
HBG2	C4orf48
ACKR4	GRAMD1A
ID2	LINC00467
CTD-2643I7.4	ARHGEF3
MME	BAIAP2L1
RTKN2	C7orf50
DCN	SPP1
AGER	RPS10
CAV2	LRRC45
FPR2	NKX2-1
EDNRB	PC
STX11	SLC12A8
FXYD1	NHS
IL1A	CLIC6
TNNC1	FAAH
RBM39	MUC1
TREM1	ZNF107
AGTPBP1	AMACR
CHRDL1	PAK6
INMT	TSTD1
EML1	EHF
SSPN	GGT1
HPGD	RP3-340N1.2
NMUR1	AP1B1
SAR1A	CTC-251H24.14
CLEC9A	GNAS
ANGPT1	ENAH
ARHGAP21	CHD6
SOX17	DNPH1
RP11-2E17.1	TMEM54
CRLS1	SDK1
DCN	RRP1
FHL1	CYP2J2
TREM1	NHS
ST6GALNAC5	BNIPL
PZP	C11orf80
TMEM100	STIP1
TUBB6	EZH2
RP11-266E14.1	LIG1
KRBOX1	CAMK1D
CAV2	DSP
DCN	GALE
FHL1	RP11-108M9.4
FBLN1	MIF-AS1
SLC32A1	RP11-511P7.2
SWAP70	PABPC1L
ADH1C	ZMYND8
CSTA	ADAM15
SLC14A1	KIAA0753
LIN7A	MYO6
AC008268.1	SRRT
RP11-701P16.5	DGCR6L
GCOM1	PIN4
RGS13	SLC39A11
CTCFL	PELI1
SLC19A3	PPHLN1
DCN	CLIC6
TCEANC	FAM13A
WFS1	C6orf141
DCN	RPTOR
PYCARD	PYCRL
CALCRL	ESRP1
XKR9	RP11-440L14.1
KANK2	FASTKD3
LIMCH1	AK2
FIBIN	BCR
FILIP1	SLC44A4
PLAC8	pri-3-hsa-mir-941-5
LAMA3	TRIM46
PIK3R1	CTC-459F4.3
RP11-204M4.3	STIP1
C1orf115	LIG1
GAS1	STARD10
SDPR	C6orf141
NXF3	LOC100505915
GCOM1	TRIM17
UFSP2	RHBDD1
TTLL7	MPC2
ADH1C	STK39
GPM6A	UBE2H
SLIT2	NEK8
FGFR4	IRF2BP2
TCF4	RPP21
FXYD3	C1orf35
NCK1	PRPF40B
CXCL12	RP11-120K24.2
DCN	KHDC1
KDR	CCDC167
BACH2	CSNK1D
GCOM1	ZNRD1-AS1
MGP	PRSS8
RGCC	CATG00000047851.1
FAR2	DNAJB13
FBLN1	ZFPL1
MYL9	RP11-353N4.6
NCF2	SPRED2
MYO18B	WFDC2
KCNJ8	PRPF3
CLEC3B	RPL6
HBA2	C7orf50
PCOLCE2	TTC39A
DNMT1	BBC3
LEPR	NARFL
GPRC5A	pri-3-hsa-mir-4728
ARHGEF26	EGFR
RF00561	AMT
CNRIP1	UCKL1
EMP1	RP11-480I12.3
SLC5A2	BRD8
GNG11	HCG18
CDH23	AC090421.1
FBLN1	RBM6
RNF125	PAPPA
SPTBN1	GOLPH3L
RGS9	pri-3-hsa-mir-6792
RP11-206L10.11	KB-1507C5.2
GCOM1	MARK2
KHDRBS2	MUC1
MXRA7	CTTN
NCEH1	PRKAR1B
BTNL9	ABHD11
OTUD1	PHKA1
PLEKHA1	ZSCAN26
FKBP1B	NR2C1
SCEL	FGFR1OP
ANXA2	KDM2A
44814	LGR4
TACC1	RGS3
FAM105A	NECAB3
FILIP1	TMEM91
PIP5K1B	MST1
ARL5A	PRPF3
SCEL	ZNF764
RP11-143M1.2	HMGB3
STARD13	NEU1
CATG00000021838.1	RRBP1
pri-3-hsa-mir-370	UCHL5
GPR65	LRRC6
ADRB1	TBL3
VSIG4	TMEM68
PKDCC	ACACA
ABI3BP	DDX42
PRMT2	RP11-875O11.5
LOC389033	CATG00000082160.1
WLS	RBM4
SLC2A12	POC1A
PHACTR2	CRELD2
HPGD	ZGPAT
MSRB3	RP11-148B18.1
NAMPT	ZNF696
MAGI3	LOC100499489
KLRC4	BRD9
CAMK2N1	STAG3L5P-PVRIG2P-PILRB
CYBRD1	NBR2
GYPC	FBXO38
FOLR3	SLC4A5
GIMAP5	OTUD5
SETD9	ASPH
DNM3	ABCC3
NUDT9	C20orf96
SPRYD7	pri-3-hsa-mir-551a
CNRIP1	CALY
GSDMA	AC000095.13
DENND3	XXbac-BPGBPG55C20.4
LIMCH1	HOOK2
B3GALT2	ATF7
TEX11	PTK7
PRR5	C16orf13
ARHGAP29	VSIG8
DCN	AL049829.1
VPS35	PRELID1
ZNFX1	DDX54
PTGS2	INF2
MSRB3	LOC343052
CASP1	DCTN1
KLF9	EMC3-AS1
CES1	RF00599
CDKN2B	MTFR1
RAB31	RP1-80B9.2
MUC16	HN1
FHL1	KIAA1522
ANKRD33B	ZSCAN26
AHNAK	ANKRD46
RFX2	RP11-98L5.5
IL6ST	AARS2
EVI2B	FBXL19
MYCT1	RUVBL1
PLAC8	PRPF6
GADD45B	PHACTR4
FXYD3	CASC1
TPT1	KRTCAP3
EMP2	NBAS
MAN1A1	PTK7
SERINC1	CTBP1
ID4	MRPS18A
SEPP1	RP11-167P11.3
CASP1	RBCK1
TACC1	TLK2
HECA	GTF2I
STOM	STK39
AGER	MAP7
KDR	RRNAD1
SPARCL1	EFCAB4A
PENK	ZMYND8
FAM162B	MUC1
CXCL2	MLEC
SFTPA1	PDIA4
LINC00312	SMARCA4
TMEM47	C16orf13
GIMAP7	pri-3-hsa-mir-1233-1
SERPING1	TPD52L2
MAMDC2	TMED3
PCDH9	ZFYVE19
MB21D2	TPD52L1
ADRA2C	MTHFSD
CTGF	TRAPPC9
CLIC4	TTC25
TPM3	DSP
ARAP2	DDX54
MSR1	USP7
LRRC75A-AS1	C16orf13
